"beta1","beta2"
0.013189685931160683,0.025893755628882152
0.01850706305087055,0.02625126072604578
0.031092246730779358,0.016084273919910193
0.026283770361550815,0.01767731765261208
0.0019301615540418568,0.04703040205555085
0.016544181880286748,0.027791128389606554
0.004329183801039755,0.041698198749444804
0.0031575120621647303,0.04606832432788861
0.01971920517401727,0.022609858426013006
0.02755363181785234,0.014255135045084147
0.00987004387184374,0.030719746486942704
0.017195757115885963,0.025578325973150386
0.022001279630157165,0.022610486474538435
0.026722384451379862,0.014380394808908717
0.04132566250936945,0.008150359298108978
0.015134652616629172,0.03116184425497035
0.021387950187346443,0.02130218432895938
0.011962844844133047,0.0319224988081889
0.012852659518181027,0.03597748018838971
0.02494794593814828,0.015953755454097083
0.024946233148113076,0.019879128441757946
0.01914024152315163,0.02189592298396917
0.0034288630460942364,0.03609428559072644
0.03179862085124551,0.00923721503531631
0.007135594678753163,0.04575876359895505
0.0037874082619768056,0.036132360249152395
0.036082546596041536,0.008188319658690582
0.013668077502935104,0.026383839278042005
0.009391430774751573,0.04117146470913327
0.01217219200318572,0.03300844492764268
0.00864905951092397,0.03120323942680175
0.024987034962097563,0.01932919249832986
0.03143189150979543,0.016050059174918547
0.01467602340689908,0.026939870043690205
0.011874831742543283,0.028934768306269162
0.015794870588522414,0.024322581743405767
0.010109830164896859,0.03789521037593668
0.042889261832421,0.003913589010413607
0.0009658786765521614,0.04863035041116474
0.014298188591598938,0.028598067955423398
0.02078090887263225,0.0242570457642951
0.015196611357886457,0.026942790033216774
0.013252727893824772,0.02645142464399053
0.001379651570882278,0.050059052220983065
0.00008656290021236807,0.051990693271217116
0.026160880917497877,0.018033799985219
0.026571879991322475,0.012624029024243907
0.03896555153057276,0.007384727288552103
0.016394530598837446,0.029521569198225243
0.014629328689132002,0.028826887187761267
0.005091643405121808,0.04665795304065014
0.003319961922994895,0.03424462815155009
0.0190891853331794,0.025586466921884893
0.013311616473565881,0.027617484887798673
0.0064347279933639895,0.04217031633701311
0.0024520057911973257,0.034415941329847745
0.007738948219139886,0.03172691461143895
0.00937910856282033,0.03320724642331747
0.024495598382250416,0.01959717910924796
0.012997212994479363,0.0346530084605162
0.011294521683728107,0.03497943938984265
0.0003849201622908214,0.05287152424824869
0.0016688106601766737,0.04617589773487466
0.03381645487062101,0.012214163365286496
0.008378617328354945,0.040270828690049214
0.011037643099104797,0.03017055301737169
0.0034400067598703826,0.04394667287727635
0.034310684438814604,0.01289853143599731
0.012258196125097164,0.029157977006797026
0.03197073857618709,0.014411798734395381
0.007772523840724212,0.0376645694192711
0.04130968616272081,0.00689051565341025
0.010473375139104974,0.03023295386683294
0.019836624685261522,0.024524895741702062
0.0032986066140845336,0.035812199684015
0.0019351054680863062,0.03555617297614457
0.024074163408152743,0.0210199293971212
0.00496376168802215,0.042166626923556286
0.01007700689557969,0.03990072842689705
0.023592888675819535,0.019777012146272692
0.01197549159908144,0.03299579294194222
0.025572350358248525,0.018990917589797474
0.011475111531172045,0.02812929317177274
0.01759953205150372,0.023377390375114236
0.02030709961848009,0.022161811598400468
0.010890168188069696,0.03094288997451619
0.025461975920351806,0.020431233396034053
0.02761972897292265,0.014411460837126982
0.022830364409647017,0.018457985470222527
0.01156198686211084,0.032479915216260896
0.016060969217405557,0.025192614962881638
0.004032958126838438,0.03595413426527603
0.004236862458482457,0.043905649311363086
0.009300419975693225,0.040545122008521305
0.024141817310249395,0.02149893453395732
0.031209517479570122,0.01567370787712862
0.009626112164216423,0.037168581927625725
0.03456682303582733,0.004614326737393812
0.013805420185274888,0.031134380516071918
0.004942089459184235,0.03230776467933632
0.018959369973543007,0.026341501727586123
